ResponseID,AB_parcid,Transect,Front_fruit,Back_fruit,Other_fruit,Fruit_any,Front_evergreen,Back_evergreen,Other_evergreen,Everg_any,Front_decid,Back_decid,Other_decid,Decid_any,Front_vegbirds,Back_vegbirds,Other_vegbirds,Vegbird_any,Front_native,Back_native,Other_native,Native_any,Front_sum,Front_sum8,Back_sum,Back_sum8,Watering,Fertilizing,Insecticide,Herbicide,Collecting_rain,Water_feature,Brushpile,Encl_compost,Birdhouse,Birdfeeder,FEED_byfreq,WFI,SimpleWFI,WFIx,DOG_out,CAT_out,Birdawareness,ESTLOWCLEAN,ESTLOWCLEAN_BLANKS,ESTLOWCLEAN_mean,ESTLOWCLEAN_BL_SQRT,VALUE_A,VALUE_B,VALUE_C,VALUE_D,VALUE_E,VALUE_F,VALUE_G,VALUE_H,VALUE_I,VALUE_J,VALUE_K,ANNOY_A,ANNOY_B,ANNOY_C,ANNOY_D,ANNOY_E,ANNOY_F,ANNOY_G,ANNOY_H,ANNOY_I,ANNOY_J,AllValScore,AllValScore_blank,AllValScore_mean,AllValScore_bl_transf,Years_Chi,Years_home,Over18,Under18,Age,Age_blank,Age_mean,RentOwn,Edu,Edu_NA,Gender,Race,Income,Income_blank,Income_mean,SR_near4,AMCR.CT,AMGO.CT,AMRO.CT,BAOR.CT,BCCH.CT,BGGN.CT,BHCO.CT,BLJA.CT,BRTH.CT,CEDW.CT,CHSP.CT,COGR.CT,COYE.CT,DOWO.CT,EAPH.CT,EAWP.CT,EUCD.CT,EUST.CT,GCFL.CT,GRCA.CT,HAWO.CT,HOFI.CT,HOSP.CT,HOWR.CT,INBU.CT,MODO.CT,NOCA.CT,NOFL.CT,RBWO.CT,REVI.CT,RHWO.CT,RWBL.CT,SCTA.CT,SOSP.CT,SWSP.CT,WBNU.CT,YWAR.CT,SR_near4_bin,Native_near4,Exotic_near4,Mig_near4,Res_near4,NT_near4,I_near4,Feeder_near4,Colorful_near4,WFI_200m,SimpWFI_200m,WFIx_200m,FS8_200m,BS8_200m,FS_200m,BS_200m,n_200mparcels
13,498,Bloomingdale,NA,1,NA,1,NA,NA,NA,0,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,3,3,2,2,1,1,0,0,1,1,0,0,0,1,1,6,2,3,1,0,1,5,5,5,2.236067977,5,5,5,5,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,4.952380952,4.952380952,4.952380952,1.023532632,46,2,2,0,46,46,46,Own,2,2,Female,1,2,2,2,11,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,8,3,8,3,8,7,8,5,5.769230769,1.076923077,1.846153846,3.769230769,3.230769231,3.307692308,2.846153846,13
14,519,Bloomingdale,NA,NA,NA,0,NA,NA,NA,0,1,NA,NA,1,NA,NA,NA,0,1,NA,NA,1,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,2,1.414213562,5,3,5,3,5,3,5,3,5,3,3,1,1,4,1,4,1,1,1,1,1,4.142857143,4.142857143,4.142857143,1.362770288,,,NA,NA,NA,,55.01,,NA,3.4,,NA,NA,,3.51,11,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,8,3,8,3,8,7,8,5,5.923076923,1.230769231,2.076923077,3.692307692,3.384615385,3.307692308,3,13
15,509,Bloomingdale,NA,NA,NA,0,NA,NA,NA,0,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,4,4,2,5,5,NA,5,5,NA,5,5,4,4,5,1,1,1,1,4,2,1,1,1,1,4.684210526,4.684210526,4.684210526,1.147078669,61,20,3,0,61,61,61,Own,3,3,Female,1,3,3,3,11,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,8,3,8,3,9,7,9,5,5.583333333,1.083333333,1.666666667,3.416666667,3.5,3.166666667,3.25,12
16,412,Bloomingdale,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,1,1,6,8,1,1,0,0,0,1,0,0,0,0,0,8,1,3,0,0,1,5,5,5,2.236067977,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,1,55,20,2,0,57,57,57,Own,2,2,Female,1,2,2,2,11,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,8,3,8,3,8,7,8,5,5.642857143,1.214285714,1.928571429,3.785714286,2.928571429,3.428571429,2.714285714,14
17,417,Bloomingdale,NA,1,NA,1,NA,NA,NA,0,1,1,NA,1,NA,NA,NA,0,NA,NA,NA,0,4,4,5,5,1,1,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,10,10,10,3.16227766,1,1,1,1,1,NA,1,3,3,1,3,1,1,1,1,3,3,3,3,3,3,2.7,2.7,2.7,1.816590212,23,19,3,0,50,50,50,Own,2,2,Male ,3,3,3,3,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,2,4,2,5,3,6,4,4.363636364,0.727272727,1.272727273,3.454545455,2.818181818,3.272727273,2.636363636,11
18,10,Augusta,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,4,5,5,7,1,1,0,1,1,1,0,0,1,1,1,10,3,5,0,0,4,10,10,10,3.16227766,5,5,5,5,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,4.952380952,4.952380952,4.952380952,1.023532632,28,20,NA,NA,52,52,52,Own,NA,3.4,Female,NA,NA,,3.51,9,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,7,2,6,3,7,6,7,3,5.888888889,0.888888889,1.777777778,5.111111111,4.666666667,4.777777778,4.666666667,9
19,21,Augusta,1,NA,NA,1,1,NA,NA,1,1,1,NA,1,1,NA,NA,1,1,NA,NA,1,5,7,1,1,1,1,1,NA,0,0,0,0,0,1,1,8,1,3,1,0,1,12,12,12,3.464101615,5,5,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,2,1,1,1,4.904761905,4.904761905,4.904761905,1.046536237,36,29,3,0,60,60,60,Own,5,5,Female,4,NA,,3.51,9,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,7,2,6,3,7,6,7,3,6,1,1.9,4.8,5.3,4.5,4.9,10
20,1973,Augusta,NA,1,NA,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,0,NA,NA,NA,0,5,5,6,6,1,1,0,0,0,0,NA,1,1,0,0,6,1,2,0,0,3,10,10,10,3.16227766,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,4.523809524,4.523809524,4.523809524,1.214985793,28,8,2,2,49,49,49,Own,3,3,Female,1,3,3,3,12,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,12,11,1,6,6,9,9,9,5,6.625,1.75,2.625,4.75,4.5,4.125,3.75,8
21,1972,Augusta,NA,NA,NA,0,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,90,90,90,9.486832981,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,1,3,4,3,NA,NA,3.052631579,3.052631579,3.052631579,1.716790151,44,19,1,0,58,58,58,Own,3,3,Female,2,NA,,3.51,12,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,12,11,1,6,6,9,9,9,5,6.666666667,1.666666667,2.666666667,4.888888889,5,4.333333333,4.333333333,9
22,8,Augusta,NA,NA,NA,0,1,1,NA,1,1,1,1,1,NA,NA,NA,0,1,1,1,1,4,5,5,6,1,1,0,1,0,0,0,0,0,0,0,5,0,0,1,0,1,14,14,14,3.741657387,3,5,4,3,3,3,4,3,3,4,3,1,1,1,1,4,1,1,1,1,1,4.047619048,4.047619048,4.047619048,1.397276262,38,10,2,1,46,46,46,Own,5,5,Female,1,NA,,3.51,12,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,12,11,1,6,6,9,9,9,5,6.444444444,1.666666667,2.666666667,4.555555556,4.555555556,4.111111111,4,9
23,34,Augusta,NA,1,NA,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,0,NA,NA,NA,0,3,3,3,3,1,NA,0,0,0,0,1,0,0,0,0,5,1,2,0,0,3,4,4,4,2,4,5,4,4,4,3,4,3,4,5,4,2,2,3,3,4,3,3,3,3,3,3.571428571,3.571428571,3.571428571,1.558387445,50,50,2,0,NA,,55.01,Own,5,5,,NA,NA,,3.51,12,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,12,11,1,6,6,9,9,9,5,6.444444444,1.555555556,2.444444444,4.777777778,4.888888889,4.222222222,4.222222222,9
24,39,Augusta,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,6,8,5,7,1,0,0,0,0,1,1,1,1,1,1,11,4,6,1,1,6,15,15,15,3.872983346,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,1,45,17,3,0,55,55,55,Own,5,5,Female,NA,NA,,3.51,12,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,12,11,1,6,6,9,9,9,5,5.714285714,1.285714286,1.928571429,4.285714286,4.5,3.928571429,4.071428571,14
25,2134,Augusta,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,0,NA,NA,NA,0,5,5,5,5,1,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,NA,,9.56,,4,4,4,4,NA,3,4,3,4,4,4,2,2,NA,2,4,3,3,NA,NA,5,3.470588235,3.470588235,3.470588235,1.590412451,47,26,2,0,72,72,72,Own,5,5,Male ,4,NA,,3.51,9,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,7,2,6,3,7,6,7,3,6.3,1.1,2.1,5,4.9,4.5,4.5,10
26,1954,Augusta,1,1,NA,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,0,1,1,NA,1,6,7,6,7,1,1,0,1,0,0,0,1,0,0,0,6,0,1,0,0,0,NA,,9.56,,5,5,5,4,5,1,5,3,4,3,4,1,1,1,2,4,2,4,NA,2,2,3.95,3.95,3.95,1.431782106,8,6,3,0,56,56,56,Own,1,1,Male ,1,5,5,5,10,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,10,9,1,6,4,7,8,8,4,6.6,1.866666667,2.733333333,4.6,4.8,4,4.266666667,15
27,444,Bloomingdale,NA,1,NA,1,1,NA,NA,1,1,NA,1,1,NA,NA,NA,0,NA,NA,NA,0,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,5,0,1,1,0,0,7,7,7,2.645751311,4,2,4,2,3,2,4,2,3,3,3,2,5,3,2,4,2,4,2,2,2,3.047619048,3.047619048,3.047619048,1.718249386,52,16,3,0,52,52,52,Own,3,3,Male ,1,5,5,5,9,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,7,2,6,3,7,6,7,3,5.666666667,1.333333333,2,3.666666667,3.222222222,3.333333333,3,9
28,418,Bloomingdale,NA,1,NA,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,0,NA,NA,NA,0,5,5,5,5,1,1,0,0,0,1,0,0,1,1,1,8,3,4,0,0,3,6,6,6,2.449489743,5,5,4,3,4,4,4,4,4,3,4,1,1,1,1,1,1,1,1,1,1,4.476190476,4.476190476,4.476190476,1.2344268,50,1,2,0,58,58,58,Own,3,3,Female,1,5,5,5,9,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,7,2,6,3,7,6,7,3,5.583333333,1,1.833333333,3.333333333,3.083333333,3,2.75,12
29,2113,Augusta,1,NA,NA,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,0,NA,NA,NA,0,4,4,4,4,0,1,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,25,25,25,5,5,5,5,3,4,3,5,4,4,3,4,1,1,1,1,1,1,1,1,1,1,4.523809524,4.523809524,4.523809524,1.214985793,14,13,2,0,57,57,57,Own,5,5,Female,1,4,4,4,10,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,10,9,1,6,4,7,8,8,4,6.571428571,1.785714286,2.571428571,4.785714286,4.857142857,4.142857143,4.285714286,14
30,802,Southcote,NA,1,NA,1,NA,1,NA,1,1,1,NA,1,NA,NA,NA,0,NA,1,NA,1,3,3,6,7,0,1,0,0,1,1,1,1,0,0,0,8,2,3,1,0,2,15,15,15,3.872983346,5,4,5,3,5,3,5,4,4,3,5,1,1,1,1,1,1,1,1,1,1,4.571428571,4.571428571,4.571428571,1.19522861,12,12,NA,NA,NA,,55.01,Own,NA,3.4,Male ,NA,NA,,3.51,14,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,14,13,1,9,5,10,10,10,4,6.4,1.3,2.4,3.9,5.1,3.2,4.2,10
31,842,Southcote,NA,NA,NA,0,NA,NA,NA,0,NA,1,NA,1,NA,NA,NA,0,NA,NA,NA,0,1,1,2,2,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,6,10,10,10,3.16227766,5,5,5,5,5,3,5,5,4,5,5,1,1,1,1,1,1,1,1,1,1,4.857142857,4.857142857,4.857142857,1.069044968,69,65,1,0,69,69,69,Own,3,3,Male ,1,NA,,3.51,14,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,14,13,1,9,5,10,10,10,4,7,1.5,2.7,4.1,5.6,3.4,4.6,10
32,191,Southcote,NA,NA,NA,0,1,NA,NA,1,1,1,NA,1,NA,NA,NA,0,NA,NA,NA,0,5,5,4,4,1,1,0,0,0,1,0,0,0,0,0,5,1,1,0,0,5,6,6,6,2.449489743,4,3,4,3,3,3,4,3,4,3,3,2,3,3,3,4,2,NA,3,3,3,3.25,3.25,3.25,1.658312395,60,19,2,0,60,60,60,Own,5,5,Female,1,NA,,3.51,12,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,12,10,2,9,3,9,7,9,4,7,1.333333333,2.666666667,4.444444444,5.777777778,4,5.111111111,9
33,295,Southcote,NA,1,NA,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,0,NA,NA,NA,0,3,3,6,6,1,1,1,1,0,0,0,1,0,NA,0,5,0,1,0,0,2,34,34,34,5.830951895,3,4,3,3,5,3,5,3,3,3,4,2,2,2,2,5,4,4,4,4,4,3.142857143,3.142857143,3.142857143,1.690308509,62,27,2,1,62,62,62,Own,5,5,Male ,1,5,5,5,12,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,12,10,2,9,3,9,7,9,4,7.25,1.625,2.875,4.875,5.875,4.375,5.125,8
34,2137,Southcote,NA,1,NA,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,3,NA,,9.56,,4,4,4,3,3,NA,4,3,3,3,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3.272727273,3.272727273,3.272727273,1.651445648,79,60,1,0,NA,,55.01,Own,5,5,Female,1,NA,,3.51,11,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,11,9,2,7,4,8,7,9,4,6.333333333,1.333333333,2.166666667,4.666666667,5.166666667,4.166666667,4.666666667,6
35,889,Southcote,NA,NA,NA,0,1,1,NA,1,1,1,NA,1,NA,NA,NA,0,1,1,NA,1,4,5,4,5,1,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,7,12,12,12,3.464101615,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,1,77,50,2,0,77,77,77,Own,2,2,Male ,1,2,2,2,14,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,14,13,1,9,5,10,10,10,4,6.8,1.5,2.7,3.7,5.3,3.1,4.4,10
36,910,Southcote,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,2,2,4,4,1,1,0,0,NA,1,0,0,0,0,0,5,1,2,1,0,1,7,7,7,2.645751311,5,5,5,5,5,3,5,3,5,3,5,1,1,1,1,1,1,1,1,1,1,4.714285714,4.714285714,4.714285714,1.133893419,8,6,2,2,38,38,38,,5,5,Female,1,NA,,3.51,14,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,14,13,1,9,5,10,10,10,4,6.7,1.4,2.5,4,5.4,3.3,4.4,10
